cluster 0, label ['egovern', 'epay', 'labour', 'worker', 'servic', 'formal', 'payment', 'employ', 'inform', 'cent']
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-Impact-of-Financial-Technology-on-Fa.txt, 1.1479967690549533
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\New-technologies-and-the-transition-to-f.txt, 1.1948683096886066
cluster 1, label ['firm', 'sme', 'financ', 'export', 'internation', 'variabl', 'debt', 'loan', 'access', 'romanian']
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Export-strategies-adopted-by-Romanian-SM.txt, 1.132673614521695
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Internationalization-of-SMEs-New-Insigh.txt, 1.0605502713231334
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\SME-Financing-from-Demand-Side.txt, 0.9953252290243486
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Financing-canadian-SME-exporters.txt, 1.0499363903093353
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-evaluation-of-the-factors-influence-.txt, 0.9317349125607337
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-impact-of-firm-characteristics-in-ac.txt, 1.1117250099505147
cluster 2, label ['financ', 'bank', 'crowdfund', 'market', 'thi', 'busi', 'capit', 'sme', 'luxembourg', 'financi']
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Digital-Innovation-Can-Improve-Financial.txt, 0.9230183824195751
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Using-Design-Thinking-to-identify-bankin.txt, 0.9728138442740388
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Brand-Identity-Ontology..txt, 0.8804132213174443
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\A-STRUCTURED-CRITICAL-SUCCESS-FACTORS-MO.txt, 1.012659549380576
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Making-Sense-of-Regulations-with-SBVR..txt, 0.9159717875333881
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Eximchain-Supply-Chain-Finance-solution.txt, 0.8967993448264163
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\ZOOM-IN-ON-THE-FIRST-EVER-SWISS-FINTECH-.txt, 0.9181536672022181
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\State-of-the-UK-GovTech-Market.txt, 0.9467978946543896
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Bank-competition-through-the-credit-cycl.txt, 0.9609044269007792
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\How-Smaller-Companies-Network-Linking-F.txt, 0.9851324584252418
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\GRCTC-WORKING-PAPER-June-2015.txt, 0.9571701211575371
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Spotlighting-opportunities-for-business-.txt, 0.9016711746949366
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Basel-III-and-SME-financing.txt, 0.9355892431883847
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Influencer-Marketing-as-an-Innovative-To.txt, 0.9643008660650902
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-role-of-crowdfunded-debt-in-early-st.txt, 0.9244471197424808
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Business-Agility-Strategy-Peer-to-Peer-.txt, 0.9668452914109618
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\How-close-are-we-to-a-Capital-Markets-Un.txt, 0.8652223220860322
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Risk-Management-from-the-Perspective-of-.txt, 0.9771309918689054
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Capital.txt, 0.9104514812348958
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Factoring®Cfinancing-alternative-for-SMEs.txt, 0.9410360364610258
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Frank-Jan-de-Graaf-Kirsten-Rauwerda-Lex-.txt, 0.8943742524704172
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\SMEs_-Alternative-Financing-The-Case-of.txt, 0.9449866836330377
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Everything-you-need-to-know-right-now-ab.txt, 0.9310816586524548
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Awareness-and-perception-analysis-of-sma.txt, 0.9615075043457383
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\New-Directions-in-Crowdfunding.txt, 0.9187447818165788
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-rise-of-alternative-finance-how-fin.txt, 0.928238949847019
cluster 3, label ['sme', 'financ', 'enterpris', 'credit', 'financi', 'bank', 'guarante', 'china', 'capit', 'loan']
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Enterprise-Financing-Modeling-Based-on-I.txt, 0.7956922065166289
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-importance-of-leasing-for-SME-financ.txt, 0.9115064869460922
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Research-on-Risk-Evaluation-of-SME-Finan.txt, 0.6778689810694184
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\The-Development-of-SME-sector-in-Poland-.txt, 1.0364737571865796
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Financial-credit-risk-evaluation-based-o.txt, 1.0279321667330943
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Study-on-the-Small-and-Middle-Enterprise.txt, 1.061121746144102
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\SME-Credit-Guarantee-in-China-and-Risk-E.txt, 0.9458560447253089
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Study-of-Financing-Preferences-and-Capi.txt, 1.0200133136970746
	 F:\WorkSpace\25 article clustering\Clustering_of_Articles\dataset\corpus\Developing-the-capital-market-to-widen-a.txt, 0.7634365311069181
